20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000005,KOR,2,UK,CM,6,2,1,1,4,2,10,1,NOR,,20.8,15.73,0.54,2.6
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000011,KOR,1,UK,CM,6.7,2,1,1,2,0.65,0.2,1,NOR,,0.19,4.78,0.6,10.5
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
20,20_000021,KOR,11,UK,CM,5.6,2,1,1,3,1,0.2,1,NOR,,0.2,6.32,0.55,2
